Max_NeuN,Mean_NeuN,Std_NeuN,Middle_NeuN,MoC_NeuN,Solidity_NeuN,FilledArea_NeuN,CenDist_NeuN,Max_tdTom,Mean_tdTom,Std_tdTom,Middle_tdTom,MoC_tdTom,Solidity_tdTom,FilledArea_tdTom,CenDist_tdTom,Max_TH,Mean_TH,Std_TH,Middle_TH,MoC_TH,Solidity_TH,FilledArea_TH,CenDist_TH
4252,3032.64501953125,663.72021484375,4235,1.94623160362244,0.979591836734694,95,0,4761,4447.4853515625,180.252593994141,4701,1.11239945888519,0.959183673469388,121,0,288,228.644973754883,18.6510391235352,236,1.03056764602661,1,169,0
7377,5054.85791015625,1191.12243652344,7261,2.2079975605011,0.979591836734694,74,0,4979,4568.86962890625,192.167358398438,4731,1.07242429256439,1,137,0,312,236.325439453125,19.3638553619385,238,1.05895435810089,1,169,0
10255,9021.4375,514.948120117188,9287,1.05699241161346,0.897959183673469,123,0,5015,4703.408203125,137.234573364258,4738,1.01369273662567,0.877551020408163,120,0,237,207.189346313477,10.5480585098267,210,1.03067481517792,1,169,0
7251,4897.94677734375,1286.08850097656,6957,2.25675129890442,0.959183673469388,79,0,5249,4712.05908203125,273.731628417969,4950,1.11486482620239,0.959183673469388,112,0,239,194.585800170898,15.1427736282349,220,1.24469590187073,1,169,0
3300,2424.14208984375,368.716949462891,3242,1.51850116252899,1,87,0,5365,4810.4853515625,368.360137939453,5321,1.18060791492462,1,142,0,312,252.01774597168,20.1203155517578,290,1.28318583965302,1,169,0
3649,2804.65673828125,358.37255859375,3493,1.4860668182373,1,118,0,4301,3961.5029296875,148.535339355469,3986,1.02369177341461,0.877551020408163,122,0,265,218.715972900391,16.6032791137695,211,0.947250306606293,1,169,0
2034,1823.47924804688,107.323226928711,1861,1.06388449668884,0.816326530612245,107,0,11043,8224.3427734375,1444.419921875,8431,1.13541173934937,0.551020408163265,76,0,326,278.147918701172,19.7344417572021,295,1.1717973947525,1,169,0
2912,2494.84033203125,171.183074951172,2631,1.12399876117706,1,143,0,3712,3467.08276367188,93.5360565185547,3380,0.992730736732483,0.877551020408163,150,0,311,264.071014404297,16.442024230957,251,0.977604687213898,1,169,0
3411,2811.4970703125,282.806060791016,3303,1.34036719799042,1,129,0,4300,4033.34326171875,103.863410949707,4015,1.01587700843811,0.979591836734694,160,0,297,247.579879760742,17.5307846069336,237,0.988529741764069,1,169,0
3346,2827.79296875,212.373382568359,3138,1.24191153049469,0.979591836734694,85,0,4319,4054.9052734375,107.963798522949,4082,1.05165529251099,1,165,0,267,236.124267578125,13.1498689651489,240,1.01159119606018,1,169,0
2920,2161.97631835938,263.947998046875,2906,1.52626049518585,0.979591836734694,100,0,5270,4859.8876953125,226.045654296875,5098,1.1124324798584,0.979591836734694,135,0,216,184.727813720703,10.456109046936,177,0.950335562229156,1,169,0
11986,9028.982421875,1547.83215332031,11542,1.77044904232025,1,86,0,5932,5187.20703125,436.121154785156,5830,1.30468833446503,0.918367346938776,98,0,498,405.272186279297,31.4405612945557,442,1.18419289588928,1,169,0
3292,2606.92309570312,337.723480224609,3208,1.50380873680115,0.959183673469388,85,0,4450,4093.37280273438,219.606246948242,4285,1.11697626113892,1,141,0,273,205.804733276367,22.866662979126,206,1.03258144855499,1,169,0
4574,3710.73974609375,411.346099853516,3920,1.30710232257843,0.938775510204082,109,0,4191,3853.86987304688,134.600311279297,4029,1.09327721595764,0.693877551020408,85,0,322,278.497039794922,15.0795993804932,267,0.97179251909256,1,169,0
