Max_NeuN,Mean_NeuN,Std_NeuN,Middle_NeuN,MoC_NeuN,Solidity_NeuN,FilledArea_NeuN,CenDist_NeuN,Max_tdTom,Mean_tdTom,Std_tdTom,Middle_tdTom,MoC_tdTom,Solidity_tdTom,FilledArea_tdTom,CenDist_tdTom,Max_TH,Mean_TH,Std_TH,Middle_TH,MoC_TH,Solidity_TH,FilledArea_TH,CenDist_TH
4281,3165.22485351562,539.70263671875,4189,1.70613992214203,0.979591836734694,80,0,4272,4022.77514648438,98.0882034301758,4119,1.04536509513855,1,163,0,205,169.508880615234,10.4118280410767,150,0.892857134342194,1,169,0
2282,1868.25439453125,134.472732543945,2282,1.28690254688263,1,120,0,3555,3337.56811523438,94.9898300170898,3448,1.00283575057983,1,169,0,270,225.603546142578,12.7826242446899,228,1.0531177520752,1,169,0
8148,4265.8046875,1567.28442382812,7986,3.02271008491516,0.877551020408163,61,0,4810,4349.20703125,241.250289916992,4444,1.0608104467392,1,133,0,225,193.674560546875,11.9435939788818,193,0.987212300300598,1,169,0
3241,2340.75732421875,423.428466796875,2974,1.58170461654663,0.938775510204082,83,0,3221,2955.25439453125,96.758659362793,3071,1.05759787559509,0.979591836734694,155,0,248,211.757400512695,11.4811058044434,203,0.970131397247314,1,169,0
3439,2311.76928710938,418.033203125,3085,1.34408020973206,0.755102040816326,71,0,3341,2994.21899414062,94.2536163330078,3190,1.0719085931778,0.979591836734694,166,0,239,200.556213378906,13.8171987533569,207,1.08947372436523,1,169,0
2346,2183.41430664062,74.0556869506836,2207,1.01412975788116,0.979591836734694,161,0,3163,3002.14794921875,64.5340118408203,3061,1.00016331672668,1,169,0,229,202.573959350586,10.2403631210327,202,1.03192853927612,1,169,0
2382,1761.82250976562,229.944976806641,2351,1.49246156215668,0.836734693877551,56,0,4777,4141.43798828125,314.331329345703,4075,0.951546967029572,0.346938775510204,68,0,187,160.378692626953,11.5510673522949,147,0.918749988079071,1,169,0
2241,1887.43786621094,113.324592590332,1919,0.996753692626953,0.938775510204082,134,0,3298,3016.5087890625,124.188133239746,3142,1.04724609851837,0.979591836734694,158,0,261,219.852066040039,16.0826187133789,221,1.02433371543884,1,169,0
4360,3205.16577148438,457.999267578125,4232,1.6602588891983,1,89,0,3440,3158.64501953125,96.9419555664062,3317,1.07869923114777,0.959183673469388,131,0,239,204.242599487305,14.2229375839233,212,1.03414630889893,1,169,0
6022,3726.78100585938,1085.68127441406,5359,2.36966609954834,0.959183673469388,69,0,4207,3755.47338867188,180.143203735352,3963,1.12147152423859,1,126,0,239,191.520706176758,14.3726301193237,204,1.12707185745239,1,169,0
2119,1840.41418457031,115.947723388672,1840,1.07570886611938,0.897959183673469,112,0,4345,3863.05908203125,167.487075805664,3794,1.04030704498291,0.591836734693878,92,0,352,275.934906005859,33.825382232666,290,1.10056924819946,1,169,0
3053,2306.14208984375,251.789886474609,2722,1.32602608203888,0.918367346938776,68,0,3251,3037.5087890625,102.259422302246,3098,1.05347275733948,1,166,0,309,258.964508056641,18.8075771331787,257,0.9707270860672,1,169,0
2767,1831.62133789062,485.067901611328,2570,1.74592387676239,0.897959183673469,92,0,4691,3257.5087890625,894.213806152344,4527,1.75176548957825,0.938775510204082,97,0,291,224.195266723633,36.9546508789062,273,1.49180328845978,1,169,0
2601,1902.17749023438,264.038330078125,2200,1.31795716285706,0.897959183673469,115,0,8703,6672.201171875,778.458190917969,6520,0.963748574256897,0.489795918367347,80,0,273,227.692306518555,16.4725608825684,247,1.11136102676392,1,169,0
2817,2510.44384765625,118.248870849609,2440,1.00401198863983,1,163,0,4011,3849.63305664062,64.5905227661133,3780,0.976050615310669,1,169,0,188,160.615386962891,10.6251058578491,179,1.11353027820587,1,169,0
3142,2164.0947265625,399.4892578125,3066,1.80379462242126,1,82,0,3982,3700.15966796875,91.3199081420898,3766,1.02973544597626,0.979591836734694,148,0,193,156.810653686523,11.0609617233276,187,1.22222220897675,1,169,0
2273,2035.76330566406,69.326286315918,2122,1.08974194526672,1,169,0,3382,3216.63916015625,73.055061340332,3143,0.984649121761322,0.959183673469388,164,0,234,194.325439453125,12.9846754074097,192,0.979591846466064,1,169,0
2141,1725.96447753906,138.747024536133,2043,1.27627670764923,1,162,0,3815,3515.26025390625,120.401077270508,3495,0.969957649707794,0.959183673469388,157,0,288,240.556213378906,17.1949119567871,231,0.988235294818878,1,169,0
1886,1563.26623535156,144.890045166016,1842,1.26772201061249,0.918367346938776,102,0,3277,2895.45556640625,200.670959472656,3100,1.13200652599335,0.979591836734694,116,0,300,247.674560546875,16.2991199493408,252,1.02439022064209,1,169,0
2296,2064.16577148438,82.2675399780273,2178,1.10139060020447,1,169,0,3437,3155.86987304688,87.6601638793945,3176,0.96689248085022,0.836734693877551,136,0,241,194.443786621094,12.3364820480347,193,1.00651895999908,1,169,0
2435,2040.08288574219,211.2783203125,2148,1.11555445194244,1,147,0,4364,3679.9052734375,367.810485839844,4217,1.22515976428986,1,145,0,293,238.798812866211,23.8264026641846,246,1.06263494491577,1,169,0
7130,4269.72802734375,1419.83068847656,6955,2.29481148719788,0.979591836734694,69,0,5543,4905.37255859375,395.131500244141,5226,1.19104325771332,1,137,0,297,222.715972900391,27.3391799926758,189,0.897862255573273,1,169,0
4290,3642.04150390625,360.383422851562,4077,1.21947205066681,0.938775510204082,88,0,4841,4414.37890625,157.169876098633,4504,1.02977991104126,0.755102040816326,110,0,333,274.556213378906,20.8234806060791,309,1.16056334972382,1,169,0
2248,1782.92895507812,172.553695678711,2048,1.25779211521149,0.857142857142857,72,0,4737,4352.20703125,179.482025146484,4340,1.00017285346985,0.897959183673469,152,0,217,172.644973754883,14.306736946106,165,0.964912295341492,1,169,0
2970,1950.08288574219,427.304077148438,2837,1.94949316978455,0.959183673469388,61,0,4099,3801.3017578125,127.653442382812,3808,1.03100037574768,1,161,0,182,156.994079589844,9.75808429718018,172,1.11688315868378,1,169,0
1590,1422.08874511719,62.8057098388672,1411,1.00966012477875,1,168,0,2750,2564.9111328125,74.885856628418,2548,0.982361435890198,1,169,0,235,207.710052490234,11.5796394348145,187,0.908869981765747,1,169,0
2586,1784.97631835938,293.074890136719,2586,1.80523562431335,0.897959183673469,73,0,3920,3662.47338867188,97.9631271362305,3588,0.950274765491486,0.795918367346939,117,0,202,157.479293823242,11.248327255249,161,1.02384734153748,1,169,0
1931,1649.01770019531,111.599647521973,1854,1.17938935756683,1,137,0,4288,3949.8046875,146.613616943359,3860,0.980255246162415,0.755102040816326,118,0,191,162.55029296875,10.1376886367798,152,0.900740742683411,1,169,0
2607,2192.64501953125,152.998336791992,2427,1.26241874694824,1,138,0,4373,4013.16577148438,198.110015869141,4072,1.03884172439575,0.877551020408163,124,0,188,164.124267578125,9.69425106048584,161,1.00468015670776,1,169,0
3561,2872.6923828125,296.871856689453,3195,1.26785719394684,0.938775510204082,102,0,3203,3052.56201171875,72.9614028930664,3133,1.02966070175171,1,169,0,275,241,12.7096700668335,245,1.04812836647034,1,169,0
2234,2055.32543945312,65.3675994873047,1995,0.972340703010559,0.448979591836735,79,0,3242,3022.79296875,81.2139205932617,3086,1.00841438770294,0.979591836734694,167,0,316,275.562133789062,16.0889625549316,267,1.02593660354614,1,169,0
2424,1814.75744628906,196.923263549805,2125,1.35609447956085,0.938775510204082,80,0,4149,3863.37280273438,98.5422210693359,3913,0.99649840593338,0.510204081632653,87,0,212,187.011840820312,9.28451824188232,183,0.968253970146179,1,169,0
5033,2875.14794921875,793.975219726562,3764,1.79751670360565,0.591836734693878,54,0,4375,3893.33129882812,165.134643554688,3932,0.98324579000473,0.653061224489796,96,0,237,180.053253173828,15.1823282241821,160,0.84432715177536,1,169,0
1587,1320.43200683594,128.325134277344,1411,1.28946769237518,0.979591836734694,115,0,2916,2561.82836914062,217.778167724609,2690,1.1665221452713,1,145,0,301,249.343200683594,19.1653347015381,277,1.27502882480621,1,169,0
4584,3112.96459960938,713.297241210938,4062,1.45513164997101,0.836734693877551,76,0,4123,3704.79296875,161.734786987305,3896,1.07180190086365,0.857142857142857,123,0,237,206.810653686523,14.2172632217407,221,1.06377863883972,1,169,0
2980,1982.08288574219,371.242980957031,2919,1.87777423858643,0.959183673469388,56,0,4209,3913.61547851562,117.342193603516,3878,1.00642311573029,0.714285714285714,121,0,194,161.781066894531,10.5669345855713,163,1.00928795337677,1,169,0
2002,1729.28991699219,149.018463134766,1755,1.19104170799255,1,149,0,4629,4104.65673828125,276.654174804688,4432,1.17997872829437,1,135,0,579,403.698211669922,88.7269668579102,422,1.19886362552643,1,166,0
6409,3838.52075195312,1118.00903320312,6409,2.70621776580811,0.938775510204082,76,0,3479,3114.04150390625,168.257080078125,3466,1.21347916126251,0.959183673469388,90,0,243,207.603546142578,13.239200592041,210,1.02689480781555,1,169,0
4571,3253.35498046875,434.682739257812,4322,1.31477677822113,0.714285714285714,46,0,4906,4107.67431640625,317.32763671875,4152,0.992767035961151,0.959183673469388,129,0,353,246.591720581055,32.2269515991211,266,1.05870652198792,1,169,0
2390,1808.47338867188,221.515502929688,2168,1.28836727142334,0.816326530612245,69,0,3898,3606.07104492188,144.677658081055,3684,1.02411568164825,1,166,0,191,158.934906005859,10.9371271133423,173,1.06955182552338,1,169,0
6940,3536.64501953125,1316.24645996094,6529,3.04559755325317,0.857142857142857,48,0,4747,4166.37255859375,212.027145385742,4722,1.1663578748703,0.877551020408163,79,0,235,192.142013549805,14.5140714645386,193,0.975979745388031,1,169,0
2643,2011.08288574219,255.645004272461,2518,1.47294533252716,0.938775510204082,60,0,3586,3288.4970703125,118.499450683594,3338,1.04631292819977,1,159,0,257,203.775146484375,17.7226428985596,218,1.10101008415222,1,169,0
6968,3422.43188476562,1315.28784179688,3986,1.12551176548004,0.224489795918367,36,0,4088,3621.55029296875,212.36491394043,3731,1.02867388725281,0.530612244897959,88,0,194,164.112426757812,12.494966506958,182,1.06277370452881,1,169,0
2584,2319.73974609375,226.694839477539,2370,1.0871559381485,1,152,0,13435,8435.017578125,2129.28930664062,9109,1.32629585266113,0.428571428571429,69,0,357,275.970428466797,31.9005947113037,298,1.22633743286133,1,169,0
3051,2364.06518554688,262.375030517578,2819,1.26881957054138,0.897959183673469,88,0,3436,3210.55615234375,80.4574584960938,3230,1.05228865146637,0.979591836734694,160,0,223,192.55029296875,11.7046527862549,188,1.03296709060669,1,169,0
2326,1946.76928710938,154.859573364258,2102,1.24673783779144,1,138,0,4839,4328.189453125,209.946166992188,4394,1.09283089637756,0.979591836734694,143,0,563,397.278106689453,76.2363204956055,416,1.17100632190704,1,168,0
2356,1726.64501953125,170.4658203125,1947,1.24767696857452,1,154,0,4181,3777.57397460938,215.556579589844,3794,0.996192753314972,0.897959183673469,120,0,195,170.396453857422,9.14513874053955,154,0.931921303272247,1,169,0
3365,2387.77514648438,411.0263671875,3139,1.63873660564423,1,78,0,4185,3867.97631835938,126.068862915039,3973,1.02581977844238,0.612244897959184,89,0,192,165.544372558594,10.1383047103882,175,1.08527135848999,1,169,0
8491,5362.3076171875,1335.34765625,8491,1.57569015026093,0.73469387755102,58,0,4103,3836.603515625,123.358757019043,3930,1.05979907512665,1,165,0,206,177.704147338867,12.3931636810303,165,0.884718477725983,1,169,0
2330,2074.36694335938,99.8184432983398,2136,1.06746625900269,0.775510204081633,90,0,3311,3128.66284179688,73.2313613891602,3136,1.0242508649826,0.755102040816326,121,0,303,257.461547851562,15.3032827377319,244,0.955925583839417,1,169,0
3247,2240.68627929688,394.555908203125,3088,1.71222627162933,0.918367346938776,57,0,3629,3392.91723632812,89.1147842407227,3285,0.974922120571136,0.795918367346939,123,0,219,191.597625732422,12.6567878723145,209,1.1467764377594,1,169,0
3878,3022.7041015625,381.493957519531,3737,1.57529771327972,1,115,0,4358,4109.994140625,90.5168762207031,4117,1.00635540485382,0.591836734693878,81,0,202,172.118347167969,8.1626443862915,173,1.03283584117889,1,169,0
2697,2061.66870117188,313.450500488281,2555,1.37735843658447,0.877551020408163,80,0,3278,3001.78686523438,87.2841644287109,3023,1.01896011829376,1,168,0,235,185.526626586914,13.7234878540039,190,0.963244616985321,1,169,0
4048,2919.54443359375,486.772430419922,3873,1.75925505161285,1,89,0,3346,3147.24267578125,78.4937515258789,3318,1.0827214717865,0.959183673469388,136,0,235,192.822479248047,14.1645669937134,194,1.03054451942444,1,169,0
1685,1486.08874511719,64.943733215332,1395,0.930930912494659,1,169,0,2787,2575.23071289062,64.3432922363281,2584,1.03277373313904,0.591836734693878,93,0,243,213.124267578125,12.1842012405396,198,0.959999978542328,1,169,0
3198,2503.0947265625,364.396179199219,3112,1.48597347736359,0.979591836734694,103,0,3930,3584.8046875,112.917922973633,3696,1.03456962108612,1,169,0,184,156.372787475586,10.7630081176758,169,1.06962025165558,1,169,0
2888,1871.91711425781,367.744415283203,2699,1.81903958320618,0.979591836734694,71,0,4238,3877.11840820312,106.690521240234,3726,0.948272585868835,0.448979591836735,97,0,197,160.63313293457,12.039927482605,144,0.927536249160767,1,169,0
17322,10607.4853515625,3422.28662109375,17307,3.28639912605286,0.959183673469388,75,0,8504,6383.0234375,916.799377441406,7874,1.61567664146423,1,107,0,659,487.798828125,80.6009902954102,586,1.55747509002686,1,169,0
5519,3134.15966796875,925.972106933594,5514,2.31049656867981,0.795918367346939,48,0,3777,3467.994140625,124.690498352051,3463,0.993330955505371,0.877551020408163,142,0,240,206.337280273438,14.9171857833862,203,1.1436619758606,1,169,0
3325,2254.5029296875,438.173156738281,3183,1.74650204181671,0.877551020408163,57,0,4234,4012.35498046875,96.9897766113281,4220,1.07997441291809,1,158,0,184,155.585800170898,9.87089443206787,154,1.11796736717224,1,169,0
