120820,767,884,98,2,4122,4113,175
322507,417,1657,227,2,2130,3392,240
172062,1337,2072,134,2,7593,4477,196
330369,1472,1989,232,2,3080,3118,212
370247,830,1061,258,2,3023,3135,214
339544,2151,979,238,2,2209,3030,199
48648,1117,2108,44,2,2264,4059,160
316753,2223,1995,224,2,1921,3075,210
383343,1081,1540,266,2,4114,3343,214
212576,904,729,160,2,5415,4035,208
356646,1724,581,249,2,1880,3812,264
367901,1903,1686,256,2,2753,3065,259
366511,1372,240,255,2,2474,4407,277
360603,141,1985,252,2,2232,6539,233
117256,2268,1312,96,2,2522,3871,159
148399,989,856,118,2,2951,3781,166
295685,2205,932,210,2,2078,3209,199
248567,365,1963,182,2,1908,3478,236
435655,415,1602,300,2,1765,3123,257
326392,2108,723,229,2,2114,3163,193
262012,2197,2110,189,2,2230,3999,254
46802,1504,451,42,2,6761,5273,193
457100,1900,485,313,2,4110,4507,288
11997,2117,1955,15,2,2068,4325,168
23340,1267,977,24,2,2809,3852,157
427386,282,1463,296,2,1384,2508,203
3299,861,1275,8,2,2442,3642,152
63766,1282,1845,56,2,1870,3847,158
14962,310,2060,17,2,2400,4136,164
373303,1792,1896,260,2,3265,3123,241
422423,2284,1108,294,2,2026,2988,282
86376,422,1360,73,2,2176,3823,187
42490,412,411,39,2,3954,3946,173
426737,731,1992,296,2,1437,2722,265
169025,449,1907,132,2,3975,3828,209
58440,1735,1491,51,2,2791,3900,169
331883,528,1943,233,2,1822,4372,425
444105,1111,632,304,2,6076,3412,212
200063,1735,86,152,2,4191,4280,248
148181,1516,1625,118,2,2061,3648,163
179385,617,1502,139,2,6431,4572,203
324368,716,1581,228,2,2487,3400,210
186783,1937,2077,143,2,3790,3652,164
225779,1603,280,168,2,2337,8993,293
322071,398,1474,227,2,2778,3192,193
306050,480,1930,217,2,2052,4409,404
148533,1703,1705,118,2,1926,3754,169
109037,688,1039,90,2,3128,3954,168
162614,613,1892,128,2,7959,3847,173
453391,2173,691,310,2,2233,3110,254
258489,1226,1992,187,2,3045,3444,194
70166,1375,1012,60,2,3651,4123,171
319742,916,895,225,2,2487,3026,193
314186,1838,1519,222,2,3889,3233,193
418401,276,1461,290,2,1464,2554,215
157977,1913,2037,125,2,3047,3714,155
56850,703,1099,50,2,2632,3797,167
121654,868,76,99,2,16677,7775,613
186229,425,1912,143,2,5163,3514,208
108791,1136,1957,89,2,3178,4078,154
5981,932,275,10,2,5488,4373,182
204165,2505,1981,154,2,1840,4517,210
218828,1466,1559,163,2,3389,3777,183
148752,2457,1868,118,2,2476,3604,190
318041,52,2006,224,2,3455,3930,263
218743,1706,553,163,2,3897,3725,165
151515,1361,1844,120,2,3636,4005,156
316546,875,2022,223,2,2230,2932,191
433572,2491,1101,299,2,2423,3525,273
197713,1143,1839,151,2,5773,3896,166
221032,1968,358,165,2,3579,3828,184
157898,809,457,125,2,6160,4524,191
243539,1385,309,179,2,6958,4424,211
113696,1598,843,93,2,5036,3771,141
372375,529,1344,259,2,2317,3146,205
101309,1235,1351,84,2,4875,3739,148
428509,2057,1394,297,2,1692,3160,278
156758,396,1734,124,2,3981,3528,193
207493,368,1489,157,2,2576,3858,217
126379,749,1730,102,2,2725,4173,160
464220,839,1236,320,2,2682,3459,325
64996,185,456,57,2,4269,4123,196
127909,931,1461,104,2,2510,3454,192
43362,1814,733,40,2,2915,3695,141
96549,651,2105,81,2,3158,5262,174
474724,1671,726,328,2,2564,7076,278
224925,2393,333,167,2,2340,3602,171
389177,979,1759,271,2,4956,3727,282
64152,213,604,56,2,3032,4033,190
137450,1636,2055,110,2,2599,4120,185
408102,1598,1047,283,2,2521,2697,251
387194,1401,2002,270,2,2494,2962,233
398984,116,1374,277,2,1332,2228,213
30290,1865,499,30,2,7067,4834,167
441662,1991,553,303,2,3139,3427,235
93686,1324,1324,78,2,2609,3788,156
13917,2456,1632,17,2,1787,4103,175
7904,1897,1297,12,2,1763,4386,157
385747,1612,295,268,2,4441,4267,231
198282,321,1186,151,2,2279,4157,188
134511,1951,119,108,2,4840,4571,181
405000,1880,227,281,2,3991,4376,257
56370,2371,1551,50,2,1810,4014,167
476050,794,904,330,2,2323,3402,270
375295,2254,223,261,2,3023,3393,197
155977,538,1697,123,2,4155,3714,169
80441,933,238,68,2,4424,4309,207
358954,1811,1885,251,2,3582,3234,251
294309,1598,1631,209,2,3522,3461,198
265237,516,2069,191,2,3339,3507,220
179090,1410,1282,139,2,5094,3983,173
102223,2445,1634,85,2,2753,3808,169
330900,1199,348,232,2,5849,4272,239
395567,2207,1263,275,2,2077,2844,242
87625,1191,1505,74,2,2126,3869,160
254274,1777,148,185,2,6893,4507,225
466849,2276,652,321,2,1745,3399,253
76150,1113,412,65,2,3253,3739,187
335582,1656,802,235,2,2509,3071,233
368998,2265,1169,257,2,2210,2921,236
474355,736,1117,328,2,2614,3137,276
236912,248,2018,175,2,2152,3767,224
317867,1913,1198,224,2,2248,3366,194
469393,2016,2060,323,2,3011,3455,209
92118,1814,1452,77,2,2910,3965,160
432223,2161,1317,298,2,1694,3325,269
221848,1086,1693,165,2,3972,3925,189
395356,2235,698,274,2,2301,2884,220
381370,2133,558,265,2,3651,3101,213
421893,1837,1916,293,2,2302,3058,243
408758,949,531,284,2,3449,3109,221
357785,1802,242,250,2,5772,3727,204
314000,898,1873,222,2,1626,3167,209
351879,483,1659,246,2,1585,2986,221
259402,789,251,188,2,4918,5631,347
287724,1847,205,205,2,6683,4080,198
147377,269,156,117,2,4054,5448,329
65963,1441,1671,58,2,2359,4228,162
456975,1144,1617,313,2,3731,2949,229
69704,156,1253,60,2,2008,3659,207
411540,2350,1832,286,2,1915,5360,328
368973,727,1594,257,2,2413,3495,254
114833,2268,1019,94,2,2084,3885,155
353996,1361,561,248,2,6684,3618,209
451962,2506,1589,309,2,2591,23299,283
460314,1984,1899,317,2,3026,3544,258
