1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-0.215357	48.075751	28.624645	0.001624	15.5
117	-0.220109	47.977053	28.665604	0.003129	16.1
118	-0.224371	48.977053	28.255961	0.000256	16.3
119	-0.214955	48.880280	28.295091	0.001083	14.9
120	-0.226345	49.021647	28.237966	0.000724	15.2
121	-0.216453	49.762905	27.942167	0.001060	14.5
122	-0.218179	49.665928	27.980512	0.001867	14.3
123	-0.210086	49.567231	28.019647	0.001617	14.8
124	-0.202661	50.567225	27.628134	0.000646	14.6
125	-0.217555	51.514105	27.267369	0.000732	14.7
126	-0.216576	51.988817	27.090025	0.000317	14.8
127	-0.229676	52.042341	27.070174	0.002445	13.9
128	-0.219716	52.118076	27.042135	0.000724	13.9
129	-0.225293	53.116145	26.677978	0.000512	14.9
130	-0.215389	53.358859	26.590898	0.000780	14.8
131	-0.220946	53.280303	26.619020	0.001162	14.8
132	-0.218010	53.186796	26.652571	0.002447	17.2
133	-0.207721	54.186780	26.298092	0.000301	15.0
134	-0.220702	54.111729	26.324369	0.001305	14.2
135	-0.214386	54.065421	26.340609	0.000798	15.7
136	-0.213228	53.973008	26.373077	0.000570	14.7
137	-0.218283	54.061744	26.341899	0.003416	14.0
138	-0.203985	53.972271	26.373336	0.001143	13.8
139	-0.211500	54.972271	26.026191	0.000523	14.8
140	-0.220425	55.597387	25.813790	0.000737	14.0
141	-0.209373	55.970422	25.688684	0.000555	14.0
142	-0.212661	55.892921	25.714576	0.000562	
