1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.201888	0.000000	7.723074	0.008658	2386.8
1	-0.241135	0.000000	7.723074	0.004890	2.0
2	-0.201172	0.000000	7.723074	0.016535	2.0
3	-0.216182	0.000000	7.723074	0.006999	2.1
4	-0.244218	0.999954	7.372040	0.005815	2.0
5	-0.222978	1.368340	7.250630	0.021938	1.9
6	-0.232199	2.368338	6.940355	0.012280	2.0
7	-0.199780	1.442115	7.226794	0.007626	2.0
8	-0.212360	2.442110	6.918513	0.007997	2.1
9	-0.222388	3.441630	6.635586	0.004160	2.0
10	-0.208740	2.548809	6.887166	0.003298	2.0
11	-0.218443	2.775390	6.821531	0.006211	2.0
12	-0.206656	3.006971	6.755727	0.006841	1.9
13	-0.228945	2.568627	6.881374	0.002783	1.9
14	-0.250509	2.366461	6.940912	0.005288	2.1
15	-0.217803	2.706885	6.841243	0.014489	4.2
16	-0.202261	1.803157	7.112373	0.009829	2.1
17	-0.197879	1.965251	7.062172	0.006292	2.0
18	-0.231143	1.044176	7.357252	0.005367	5.3
19	-0.218827	1.880022	7.088479	0.006957	3.2
20	-0.230618	2.710181	6.840292	0.011610	1.9
21	-0.235829	1.786641	7.117528	0.007825	2.0
22	-0.205714	0.860455	7.419084	0.012802	1.9
23	-0.228468	1.860407	7.094561	0.009853	1.9
24	-0.227738	2.860403	6.797226	0.002571	2.0
25	-0.253430	3.759387	6.550427	0.018927	2.0
26	-0.194315	4.754195	6.297403	0.007192	2.0
27	-0.217805	3.839233	6.529370	0.010495	2.1
28	-0.254688	4.828560	6.279272	0.010323	1.9
29	-0.263821	3.902338	6.512824	0.003793	2.0
30	-0.228901	3.395720	6.648074	0.012048	1.9
31	-0.223176	2.607459	6.870055	0.010288	2.0
32	-0.201650	1.681237	7.150604	0.008372	2.0
33	-0.236991	0.755578	7.454849	0.005698	1.9
34	-0.235754	1.750293	7.128899	0.007704	2.0
35	-0.234442	0.857352	7.420137	0.010057	1.9
36	-0.201283	0.000000	7.723074	0.002475	2.0
37	-0.237881	0.275993	7.622890	0.007877	2.1
38	-0.193997	0.000000	7.723074	0.011201	2.0
39	-0.242294	0.000000	7.723074	0.007246	2.0
40	-0.163401	0.000000	7.723074	0.005363	1.9
41	-0.235489	0.000000	7.723074	0.011961	1.9
42	-0.287210	0.000000	7.723074	0.005768	1.9
43	-0.211773	0.932732	7.394635	0.007341	1.9
44	-0.258327	1.457610	7.221808	0.015241	1.9
45	-0.208305	2.457608	6.913942	0.004622	2.0
46	-0.232356	3.218865	6.696621	0.002720	2.0
47	-0.217596	3.764975	6.548949	0.005403	1.8
48	-0.215930	4.081060	6.466415	0.017355	2.0
49	-0.225686	5.081057	6.218481	0.019348	1.9
50	-0.232126	6.081057	5.988856	0.017535	1.9
51	-0.231079	7.081057	5.775586	0.002847	1.9
52	-0.226617	6.934171	5.805955	0.006771	1.9
53	-0.220267	7.340735	5.722666	0.009096	1.8
54	-0.236649	6.415406	5.915818	0.007729	1.9
55	-0.251020	7.415264	5.707656	0.009421	1.9
56	-0.232609	6.489202	5.899937	0.004996	1.9
57	-0.214329	6.796826	5.834643	0.006005	1.8
58	-0.215195	7.179611	5.755386	0.005499	1.8
59	-0.229083	6.336493	5.932895	0.003159	2.0
60	-0.250483	5.569232	6.104224	0.002842	1.9
61	-0.239380	5.868840	6.036158	0.008806	1.8
62	-0.222097	6.345870	5.930861	0.012849	1.9
63	-0.236934	6.626403	5.870636	0.004493	1.9
64	-0.227769	6.132585	5.977482	0.009124	2.0
65	-0.241134	6.097637	5.985192	0.010460	1.8
66	-0.260017	7.097606	5.772184	0.004971	1.9
67	-0.202231	8.041951	5.584492	0.003962	1.9
68	-0.218593	8.370904	5.521946	0.009304	1.9
69	-0.211290	9.349836	5.343836	0.013822	1.9
70	-0.206752	10.349813	5.173382	0.005787	1.8
71	-0.223928	11.349553	5.013502	0.004594	7.6
72	-0.227690	11.183532	5.039365	0.005246	1.9
73	-0.229095	11.490420	4.991765	0.008215	1.9
74	-0.221678	12.487072	4.843199	0.005044	1.8
75	-0.191289	12.090554	4.901234	0.015653	1.8
76	-0.191322	11.279935	5.024315	0.003842	2.0
77	-0.227299	11.129114	5.047900	0.008074	1.9
78	-0.253828	10.322575	5.177881	0.010715	2.0
79	-0.252070	11.322520	5.017695	0.010088	1.8
80	-0.258907	10.397797	5.165475	0.009448	2.0
81	-0.235947	9.471576	5.322487	0.008047	1.9
82	-0.221309	8.546699	5.489092	0.007880	2.0
83	-0.197994	9.544595	5.309763	0.007690	1.8
84	-0.245306	9.623893	5.296014	0.008469	1.9
85	-0.218458	8.699680	5.460818	0.007079	1.9
86	-0.259601	7.877151	5.616363	0.002243	1.8
87	-0.233851	7.684588	5.654066	0.002096	2.1
88	-0.198986	7.898003	5.612310	0.008345	2.0
89	-0.268901	7.720484	5.646999	0.007216	1.9
90	-0.224077	6.795375	5.834947	0.012602	2.0
91	-0.231889	5.869261	6.036063	0.007671	1.8
92	-0.245183	6.860251	5.821360	0.008626	1.9
93	-0.233644	7.063178	5.779265	0.004237	1.9
94	-0.217238	8.037820	5.585287	0.006471	1.8
95	-0.235634	8.855948	5.432236	0.004454	2.0
96	-0.238144	8.114214	5.570631	0.004403	1.8
97	-0.207594	8.938410	5.417273	0.005490	1.9
98	-0.219203	9.106174	5.387086	0.005206	1.8
99	-0.258989	8.967857	5.411950	0.002688	2.0
100	-0.243663	9.663707	5.289137	0.011640	1.9
101	-0.240064	9.650030	5.291497	0.004326	2.2
102	-0.226435	9.707137	5.281657	0.016679	1.9
103	-0.203781	9.030822	5.400603	0.011583	1.8
104	-0.244208	10.030810	5.226565	0.004041	1.9
105	-0.224199	11.025951	5.064160	0.007323	1.8
106	-0.207713	10.293473	5.182696	0.005504	2.1
107	-0.194121	10.396699	5.165656	0.006824	4.4
108	-0.272433	10.399560	5.165185	0.010976	1.9
109	-0.244475	11.397967	5.006010	0.007867	2.0
110	-0.240035	12.028713	4.910411	0.012706	1.9
111	-0.206289	11.122856	5.048883	0.010362	1.8
112	-0.253748	12.122856	4.896454	0.002372	2.2
113	-0.243959	12.817526	4.795873	0.009837	2.5
114	-0.236902	12.263549	4.875744	0.015316	1.8
115	-0.227659	11.337326	5.015398	0.009989	1.8
116	-0.261065	10.411103	5.163287	0.006488	2.0
117	-0.204013	10.727288	5.111831	0.008520	1.9
118	-0.205531	10.738578	5.110013	0.009085	2.1
119	-0.186150	11.738468	4.953944	0.006493	1.8
120	-0.206766	12.721493	4.809531	0.008372	1.8
121	-0.226079	13.250517	4.735244	0.006319	1.8
122	-0.180257	14.243900	4.601776	0.010785	1.8
123	-0.223936	13.318403	4.725877	0.006015	1.9
124	-0.241657	12.737566	4.807239	0.008474	1.8
125	-0.212937	11.849071	4.937264	0.004867	1.8
126	-0.203440	11.020935	5.064954	0.003225	1.9
127	-0.227446	10.330754	5.176529	0.016906	1.9
128	-0.252536	11.327239	5.016963	0.013252	1.9
129	-0.272820	10.401016	5.164946	0.010326	1.8
130	-0.245611	11.401016	5.005539	0.005948	1.8
131	-0.226592	10.488525	5.150592	0.006966	1.8
132	-0.212683	10.871125	5.088761	0.008860	2.0
133	-0.232231	9.946871	5.240741	0.004094	1.9
134	-0.205622	9.140197	5.381005	0.002818	1.8
135	-0.244154	9.458507	5.324770	0.004094	1.8
136	-0.229085	9.527743	5.312694	0.010739	2.1
137	-0.231064	8.785483	5.445087	0.006847	1.9
138	-0.224889	8.182145	5.557664	0.004574	1.8
139	-0.202095	7.411588	5.708394	0.013384	1.9
140	-0.212157	8.410757	5.514464	0.014130	1.8
141	-0.240168	9.410757	5.333131	0.006612	1.8
142	-0.208256	10.410743	5.163347	0.005538	1.9
143	-0.223470	9.721055	5.279264	0.012776	1.9
144	-0.192564	10.719400	5.113103	0.005391	1.9
145	-0.242673	11.718913	4.956905	0.007824	1.8
146	-0.229200	12.707910	4.811469	0.008879	1.8
147	-0.213033	11.783290	4.947171	0.004808	1.7
148	-0.231395	12.777178	4.801602	0.011016	1.8
149	-0.227601	11.862015	4.935320	0.007251	1.9
150	-0.203422	12.851790	4.791018	0.013765	1.8
151	-0.252159	12.756933	4.804481	0.005018	1.8
152	-0.208982	11.830920	4.939994	0.006714	1.8
153	-0.231841	10.938151	5.078082	0.006131	1.9
154	-0.204809	10.077580	5.218699	0.018801	2.0
155	-0.249193	9.151430	5.379000	0.003651	1.9
156	-0.211059	10.124855	5.210773	0.007955	1.9
157	-0.230153	11.052146	5.060022	0.007404	1.9
158	-0.221037	10.553428	5.139998	0.011154	1.9
159	-0.216387	11.552932	4.982180	0.003026	1.8
160	-0.222308	11.354677	5.012708	0.003579	1.9
161	-0.238945	11.247993	5.029291	0.017860	1.9
162	-0.237571	10.366726	5.170592	0.009606	1.9
163	-0.241344	11.366726	5.010842	0.005442	1.8
164	-0.235774	12.053271	4.906763	0.009070	1.8
165	-0.210589	12.773490	4.802126	0.013434	1.8
166	-0.234099	13.773312	4.664052	0.011828	1.9
167	-0.213824	14.773312	4.533674	0.009062	1.8
168	-0.235520	14.688595	4.544436	0.006625	1.9
169	-0.241955	15.442852	4.450380	0.006670	2.2
170	-0.240665	14.521866	4.565767	0.005232	1.8
171	-0.217014	14.905426	4.516993	0.006437	1.8
172	-0.248547	14.064320	4.625344	0.010373	1.9
173	-0.219282	13.314154	4.726462	0.006031	1.8
174	-0.234183	14.226262	4.604081	0.008263	1.9
175	-0.201898	13.484902	4.703060	0.005362	1.8
176	-0.229759	14.085651	4.622532	0.008003	1.8
177	-0.241606	14.849887	4.523991	0.003510	1.8
178	-0.194205	15.764356	4.411462	0.004997	1.9
179	-0.216969	16.429932	4.333017	0.007582	1.8
180	-0.245512	16.532232	4.321207	0.006131	1.8
181	-0.242939	15.816423	4.405223	0.010651	1.8
182	-0.198677	16.815925	4.288790	0.015168	1.9
183	-0.248411	17.815925	4.178299	0.010993	1.9
184	-0.222247	18.815925	4.073359	0.002511	1.8
185	-0.221762	19.710031	3.983897	0.007796	1.7
186	-0.205401	20.486312	3.909351	0.005063	1.9
187	-0.227964	19.567129	3.997930	0.015986	1.9
188	-0.252230	20.555012	3.902888	0.004127	1.8
189	-0.223018	19.912103	3.964219	0.006162	1.9
190	-0.213126	20.516719	3.906488	0.006098	1.9
191	-0.228595	21.434860	3.821965	0.003973	1.9
192	-0.219478	20.749747	3.884683	0.011528	1.8
193	-0.224739	20.748894	3.884763	0.009116	1.8
194	-0.243291	21.748892	3.793889	0.012218	1.8
195	-0.222042	22.748307	3.707219	0.009351	1.8
196	-0.242062	21.822084	3.787404	0.027157	1.9
197	-0.238714	22.822084	3.700978	0.005746	1.7
198	-0.215485	21.895861	3.780890	0.012086	1.9
199	-0.163904	22.895773	3.694765	0.005685	1.8
200	-0.200370	23.895628	3.612480	0.006490	1.8
201	-0.191058	24.881993	3.534819	0.003572	1.8
202	-0.201510	24.115192	3.594899	0.004567	1.8
203	-0.202343	24.236091	3.585291	0.010406	1.8
204	-0.211669	24.917393	3.532094	0.003822	2.2
205	-0.224680	25.892362	3.458656	0.006162	1.9
206	-0.230159	25.404644	3.495007	0.002367	2.1
207	-0.216043	25.419046	3.493923	0.010082	2.0
208	-0.200768	24.963541	3.528548	0.007765	1.8
209	-0.257551	25.955516	3.454004	0.003244	1.8
210	-0.230177	25.408227	3.494737	0.007500	1.8
211	-0.200952	24.859416	3.536559	0.003167	1.7
212	-0.216036	25.402989	3.495132	0.010731	2.1
213	-0.252816	25.388390	3.496232	0.022316	1.8
214	-0.199076	24.462167	3.567462	0.008386	1.8
215	-0.218081	23.535945	3.641655	0.006360	1.7
216	-0.182248	22.611943	3.718810	0.004320	1.8
217	-0.216528	23.225732	3.667199	0.019593	1.8
218	-0.229973	22.299525	3.745643	0.008558	2.0
219	-0.199340	21.373302	3.827517	0.007347	1.9
220	-0.217095	20.447358	3.913025	0.003775	2.1
221	-0.233626	20.166414	3.939730	0.014378	1.8
222	-0.205717	20.970670	3.864235	0.014050	1.8
223	-0.222678	21.970670	3.774308	0.007133	1.8
224	-0.213364	22.970637	3.688474	0.008839	1.8
225	-0.217548	23.967311	3.606721	0.003374	2.2
226	-0.224818	24.760379	3.544213	0.020510	1.9
227	-0.222078	24.281862	3.581667	0.007860	1.8
228	-0.224926	23.355639	3.656458	0.003989	1.8
229	-0.216210	22.685837	3.712520	0.006463	1.8
230	-0.278792	23.066899	3.680417	0.006663	1.8
231	-0.222525	23.897194	3.612354	0.007123	1.9
232	-0.233367	23.138958	3.674408	0.008659	1.9
233	-0.217027	24.135719	3.593264	0.007728	1.8
234	-0.240302	23.209705	3.668528	0.012088	1.8
235	-0.220787	22.284377	3.746954	0.001978	2.5
236	-0.200637	22.794412	3.703316	0.005994	1.8
237	-0.231198	23.083085	3.679065	0.007770	2.0
238	-0.215001	23.924901	3.610126	0.011448	1.8
239	-0.219358	23.715586	3.627025	0.002147	1.8
240	-0.211362	24.552632	3.560377	0.012718	1.8
241	-0.249667	24.412296	3.571380	0.003957	1.8
242	-0.232500	23.674490	3.630362	0.004178	1.8
243	-0.259849	22.950814	3.690138	0.011604	1.8
244	-0.208686	23.898253	3.612269	0.009233	1.8
245	-0.201530	24.898251	3.533567	0.003691	1.8
246	-0.236228	25.832375	3.463086	0.016393	1.7
247	-0.216202	24.906703	3.532917	0.011240	1.8
248	-0.209151	25.906703	3.457599	0.005745	1.7
249	-0.221786	25.012029	3.524829	0.011446	1.8
250	-0.263545	26.011771	3.449871	0.006754	1.8
251	-0.205304	25.096833	3.518345	0.005875	1.8
252	-0.262881	26.054952	3.446705	0.006728	1.9
253	-0.252280	26.893522	3.386357	0.012834	1.8
254	-0.223131	27.766154	3.325761	0.009896	1.8
255	-0.266258	26.839931	3.390150	0.012323	1.8
256	-0.260765	27.839931	3.320737	0.004910	1.7
257	-0.226396	28.839206	3.254156	0.006742	2.1
258	-0.224071	27.937032	3.314148	0.003591	1.9
259	-0.197100	27.101407	3.371722	0.012108	1.8
260	-0.219532	28.089860	3.303830	0.006353	1.8
261	-0.256089	27.164693	3.367291	0.016926	1.9
262	-0.241687	26.949928	3.382373	0.006358	1.9
263	-0.179161	27.949912	3.313276	0.007049	3.2
264	-0.242880	28.880756	3.251445	0.004972	3.2
265	-0.226906	29.430803	3.215982	0.007718	2.1
266	-0.253082	30.407143	3.154903	0.006565	1.9
267	-0.211675	31.405314	3.094811	0.009385	1.9
268	-0.240201	30.486420	3.150045	0.007353	1.7
269	-0.255836	29.563935	3.207514	0.009631	1.9
270	-0.209191	29.526739	3.209876	0.007682	2.0
271	-0.235903	30.526579	3.147590	0.002251	2.3
272	-0.210750	31.257405	3.103571	0.006581	1.8
273	-0.230382	30.720793	3.135771	0.004738	1.9
274	-0.205081	31.693319	3.077896	0.007796	1.8
275	-0.234530	32.643540	3.023375	0.008371	1.8
276	-0.231278	31.718798	3.076408	0.008525	1.8
277	-0.187275	30.866106	3.126985	0.006629	1.8
278	-0.240810	29.947741	3.183351	0.013643	1.8
279	-0.201643	29.021558	3.242293	0.004799	1.8
280	-0.238361	29.309566	3.223732	0.005163	1.8
281	-0.176393	29.869477	3.188249	0.006877	2.0
282	-0.232986	29.459026	3.214183	0.003311	1.8
283	-0.223001	28.776912	3.258228	0.007143	1.8
284	-0.223937	29.649268	3.202110	0.008031	2.2
285	-0.226843	30.595870	3.143363	0.014016	1.9
286	-0.202921	29.669872	3.200808	0.004289	1.8
287	-0.244110	30.668475	3.138946	0.006753	1.8
288	-0.227720	31.563584	3.085493	0.010070	1.9
289	-0.215884	30.638964	3.140740	0.006402	1.8
290	-0.269751	31.628227	3.081703	0.012639	1.9
291	-0.193798	32.628116	3.024245	0.005000	1.8
292	-0.241806	31.702604	3.077354	0.002211	1.8
293	-0.205321	31.125559	3.111421	0.005998	1.8
294	-0.241886	30.579185	3.144380	0.011097	1.8
295	-0.189015	31.578640	3.084609	0.005869	1.8
296	-0.227053	32.572348	3.027393	0.005533	1.8
297	-0.222566	33.520314	2.974755	0.007897	1.8
298	-0.250564	32.653395	3.022820	0.004801	1.8
299	-0.208746	32.851365	3.011707	0.008986	1.7
300	-0.207077	33.698381	2.965070	0.007681	1.8
301	-0.235886	34.664826	2.913591	0.011311	1.8
302	-0.205823	33.738998	2.962870	0.005942	1.9
303	-0.235292	34.737828	2.909775	0.005962	1.8
304	-0.262741	34.982029	2.897082	0.002473	1.8
305	-0.258570	34.787996	2.907159	0.008788	1.8
306	-0.228309	34.195272	2.938378	0.013707	1.8
307	-0.243530	33.269049	2.988528	0.009937	1.8
308	-0.190235	32.342826	3.040419	0.004947	1.9
309	-0.221046	32.505341	3.031184	0.004525	1.7
310	-0.198021	32.636859	3.023752	0.011974	1.8
311	-0.240535	31.798536	3.071762	0.011670	1.7
312	-0.231248	32.798536	3.014665	0.012321	1.9
313	-0.238913	31.872322	3.067475	0.013322	1.9
314	-0.229832	31.048382	3.116034	0.008223	1.9
315	-0.277286	30.134176	3.171745	0.007087	1.8
316	-0.254037	31.128795	3.111228	0.005911	1.8
317	-0.230385	32.102284	3.054192	0.019760	1.7
318	-0.255302	31.176062	3.108409	0.004333	2.6
319	-0.230599	30.484110	3.150187	0.008909	5.0
320	-0.243872	30.686712	3.137838	0.007154	4.4
321	-0.238862	29.760687	3.195082	0.004721	3.2
322	-0.232990	28.893379	3.250623	0.003517	3.5
323	-0.242644	29.250448	3.227525	0.019361	3.5
324	-0.228326	28.451820	3.279648	0.007934	3.2
325	-0.204031	29.451820	3.214642	0.002739	3.9
326	-0.228740	29.679637	3.200192	0.012317	3.9
327	-0.208055	30.033355	3.178011	0.010832	5.6
328	-0.212417	31.033355	3.116934	0.006691	3.5
329	-0.266979	31.001930	3.118818	0.006481	3.7
330	-0.204544	30.382307	3.156428	0.007386	4.0
331	-0.265637	31.376563	3.096510	0.010513	3.5
332	-0.248782	32.371922	3.038762	0.006427	3.7
333	-0.222797	31.449856	3.092183	0.004692	3.1
334	-0.205168	32.325537	3.041405	0.002998	1.8
335	-0.209260	32.541488	3.029138	0.004870	1.8
336	-0.236659	31.841969	3.069237	0.005110	1.9
337	-0.217844	31.302272	3.100908	0.013667	1.9
338	-0.229025	30.377099	3.156748	0.005214	1.9
339	-0.246219	31.376869	3.096492	0.002924	1.8
340	-0.235678	31.764205	3.073761	0.004772	1.8
341	-0.215136	32.061974	3.056512	0.005191	1.8
342	-0.217709	31.903277	3.065681	0.022910	1.8
343	-0.228488	32.903276	3.008807	0.003125	1.8
344	-0.195198	33.899264	2.954221	0.006472	1.8
345	-0.230621	33.180495	2.993412	0.004006	1.9
346	-0.235307	32.449402	3.034357	0.011521	1.9
347	-0.217983	31.552197	3.086161	0.007396	1.9
348	-0.234856	32.552136	3.028536	0.003090	1.9
349	-0.219418	32.048771	3.057273	0.005694	2.0
350	-0.203227	32.775893	3.015934	0.006385	1.9
351	-0.237809	31.875100	3.067314	0.007855	1.8
352	-0.215194	32.825713	3.013143	0.006488	1.8
353	-0.195260	33.537233	2.973832	0.009065	1.7
354	-0.210029	32.967813	3.005209	0.016620	1.8
355	-0.238714	32.041590	3.057686	0.003075	1.8
356	-0.266020	31.116658	3.111952	0.009127	2.2
357	-0.241070	30.236586	3.165405	0.013670	1.8
358	-0.253815	31.236586	3.104808	0.007188	1.8
359	-0.196054	32.236550	3.046489	0.005187	1.8
360	-0.212476	32.915324	3.008135	0.007656	1.8
361	-0.207569	33.829935	2.957956	0.006032	1.8
362	-0.248370	34.816466	2.905676	0.007216	1.8
363	-0.213031	35.802194	2.855252	0.009643	1.7
364	-0.203540	36.788072	2.806540	0.002754	1.8
365	-0.228407	36.438394	2.823626	0.008025	1.9
366	-0.227711	36.752579	2.808265	0.005462	1.8
367	-0.215340	35.832155	2.853746	0.005319	1.7
368	-0.236934	36.489928	2.821095	0.002987	1.8
369	-0.236421	36.909669	2.800647	0.025038	1.8
370	-0.231828	37.908801	2.753146	0.011094	1.8
371	-0.206329	38.908795	2.707191	0.014081	2.0
372	-0.239071	38.894421	2.707841	0.001963	1.8
373	-0.233453	39.769176	2.668862	0.006291	1.8
374	-0.230695	39.619651	2.675445	0.015382	1.8
375	-0.195877	40.618127	2.632092	0.004104	2.5
376	-0.263254	39.692119	2.672251	0.002764	2.1
377	-0.240532	39.767104	2.668953	0.009592	2.1
378	-0.234770	39.644674	2.674341	0.005945	2.0
379	-0.209291	39.583099	2.677059	0.004649	1.8
380	-0.216572	38.760627	2.713903	0.002586	1.9
381	-0.181916	38.613185	2.720615	0.005585	2.0
382	-0.201614	37.969884	2.750295	0.009125	1.9
383	-0.195877	38.966250	2.704597	0.009681	1.9
384	-0.214016	38.040271	2.747016	0.010799	1.9
385	-0.230090	37.215455	2.785936	0.003319	2.3
386	-0.242406	36.376615	2.826666	0.012633	1.9
387	-0.227740	35.464806	2.872312	0.010465	1.9
388	-0.236644	34.538583	2.920214	0.008839	1.8
389	-0.220894	33.612373	2.969740	0.015502	2.0
390	-0.276526	34.612372	2.916339	0.003570	1.9
391	-0.215922	35.263425	2.882593	0.007105	1.8
392	-0.227250	34.694607	2.912033	0.011661	1.8
393	-0.258018	33.769223	2.961235	0.009345	1.8
394	-0.239132	34.769223	2.908137	0.005900	1.8
395	-0.225227	34.745547	2.909372	0.005733	2.0
396	-0.280417	35.272700	2.882118	0.008643	1.8
397	-0.234064	36.257037	2.832570	0.001784	1.8
398	-0.214612	36.601804	2.815616	0.010009	1.8
399	-0.232127	36.307222	2.830089	0.015552	2.0
400	-0.232165	35.381020	2.876581	0.013369	1.8
401	-0.235732	34.454797	2.924626	0.003656	1.8
402	-0.224802	35.450140	2.873058	0.010121	1.8
403	-0.209160	34.544835	2.919885	0.007956	1.8
404	-0.229781	35.479852	2.871547	0.008363	1.8
405	-0.244040	36.479218	2.821621	0.007050	1.7
406	-0.216120	37.469490	2.773832	0.015201	1.8
407	-0.217686	38.469486	2.727189	0.006518	1.8
408	-0.221162	37.577256	2.768729	0.012820	2.0
409	-0.255085	36.671961	2.812191	0.005600	2.3
410	-0.248454	37.670533	2.764327	0.011419	2.0
411	-0.222322	36.902297	2.801004	0.009198	1.9
412	-0.209706	36.058301	2.842436	0.011321	2.0
413	-0.237163	35.132088	2.889338	0.006468	1.9
414	-0.227293	34.210871	2.937547	0.008397	2.0
