1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-0.159293	46.217717	5.853916	0.012013	6.4
117	-0.165219	46.720134	5.810485	0.006871	6.5
118	-0.156999	46.542117	5.825800	0.011712	6.7
119	-0.161448	47.542069	5.740808	0.007751	6.9
120	-0.159519	48.542069	5.658256	0.010937	6.5
121	-0.157970	48.305138	5.677600	0.017423	6.4
122	-0.159923	49.305138	5.596843	0.008537	6.3
123	-0.152390	49.068058	5.615781	0.014531	11.8
124	-0.153065	50.068058	5.536761	0.002751	6.5
125	-0.155516	51.065605	5.460120	0.006624	6.8
126	-0.158490	51.969887	5.392455	0.019725	6.5
127	-0.145721	51.732807	5.410032	0.004767	6.7
128	-0.148981	52.732807	5.336659	0.003877	6.5
129	-0.158169	52.567631	5.348641	0.011137	7.0
130	-0.142202	53.378647	5.290320	0.007257	8.5
131	-0.148138	54.378645	5.220137	0.009070	7.1
132	-0.164182	54.141566	5.236607	0.009731	6.4
133	-0.157079	55.141565	5.167832	0.009309	7.2
134	-0.168683	54.904486	5.183973	0.005681	7.0
135	-0.157040	54.669360	5.200082	0.012600	6.6
136	-0.140565	54.432281	5.216425	0.006860	7.1
137	-0.162885	55.432279	5.148176	0.018451	6.3
138	-0.151418	56.432279	5.081690	0.006292	6.4
139	-0.152309	57.431746	5.016933	0.008772	6.4
140	-0.151188	57.562757	5.008567	0.012721	6.8
141	-0.158012	58.562747	4.945617	0.008775	6.4
142	-0.160503	59.562747	4.884228	0.011776	7.0
143	-0.156496	59.325744	4.898639	0.004849	6.7
144	-0.147133	60.325736	4.838405	0.005975	6.6
145	-0.157830	60.116746	4.850871	0.013011	6.4
146	-0.167233	60.514341	4.827210	0.008883	9.1
147	-0.153264	60.277262	4.841291	0.011381	7.3
148	-0.162507	61.277262	4.782449	0.004856	6.8
149	-0.163639	62.277261	4.725021	0.011316	6.7
150	-0.140284	63.277254	4.668957	0.014224	6.6
151	-0.153912	64.277253	4.614206	0.006656	6.6
152	-0.161820	64.041460	4.627000	0.013405	6.4
153	-0.157677	63.810289	4.639612	0.006056	6.5
154	-0.181560	64.809812	4.585569	0.018667	6.5
155	-0.152311	64.572733	4.598274	0.014862	6.7
156	-0.162721	64.335653	4.611049	0.006976	7.1
157	-0.144722	65.335653	4.557640	0.007588	9.6
158	-0.162643	66.335576	4.505459	0.017806	6.8
159	-0.167439	67.335576	4.454455	0.003963	6.8
160	-0.146405	67.098628	4.466436	0.006757	6.9
161	-0.134341	66.865370	4.478293	0.008532	7.0
162	-0.153439	66.628329	4.490407	0.007704	6.9
163	-0.139106	67.304083	4.456044	0.005514	6.7
164	-0.153569	67.067012	4.468039	0.006028	6.5
165	-0.160713	67.028385	4.470000	0.013431	6.8
166	-0.145229	66.791360	4.482068	0.010677	7.2
167	-0.168326	67.791360	4.431589	0.005847	6.4
168	-0.155239	68.791359	4.382235	0.012912	6.5
169	-0.162177	68.554334	4.393834	0.014134	6.9
170	-0.146137	69.554334	4.345312	0.006388	6.6
171	-0.146997	69.317256	4.356718	0.016421	6.6
172	-0.158444	69.519951	4.346963	0.017577	6.4
173	-0.158543	70.519951	4.299465	0.012826	6.6
174	-0.158685	71.519951	4.252995	0.008937	10.1
175	-0.158145	72.519822	4.207523	0.005736	6.7
176	-0.159176	72.683452	4.200174	0.007923	6.5
177	-0.143356	72.446441	4.210828	0.006619	6.5
178	-0.159488	73.446429	4.166244	0.009132	6.4
179	-0.151831	74.432755	4.123184	0.009131	6.9
180	-0.155115	75.432754	4.080427	0.011563	6.3
181	-0.158943	75.402977	4.081688	0.008127	6.8
182	-0.148428	75.165897	4.091750	0.015868	6.6
183	-0.153263	76.165897	4.049639	0.011558	6.6
184	-0.145500	77.164802	4.008431	0.003292	6.5
185	-0.150507	77.471083	3.995963	0.005305	6.9
186	-0.164448	77.365067	4.000270	0.002968	7.6
187	-0.143944	77.563032	3.992236	0.016048	6.6
188	-0.142671	78.562972	3.952140	0.013071	6.3
189	-0.145324	78.325893	3.961574	0.010561	6.5
190	-0.152779	79.325893	3.922087	0.013908	6.8
191	-0.142346	79.088824	3.931376	0.006603	6.5
192	-0.154111	80.088731	3.892490	0.003030	6.3
193	-0.155634	80.870396	3.862622	0.002674	6.5
194	-0.150788	80.748653	3.867244	0.007627	6.3
195	-0.148544	80.546507	3.874942	0.010704	6.4
196	-0.139973	81.546506	3.837155	0.006177	6.5
197	-0.157076	81.309427	3.846047	0.007065	6.5
198	-0.161849	82.305944	3.808947	0.017283	6.7
199	-0.156539	83.305941	3.772430	0.007151	6.8
200	-0.144493	84.305941	3.736606	0.011090	6.6
201	-0.148278	84.068862	3.745038	0.009807	6.4
202	-0.149407	85.068862	3.709730	0.006178	6.4
203	-0.147873	84.898145	3.715710	0.003828	6.5
204	-0.164008	85.723258	3.686983	0.009590	12.1
205	-0.148409	85.486230	3.695190	0.007655	7.0
206	-0.162898	85.249340	3.703429	0.013556	7.9
207	-0.137748	86.222124	3.669829	0.009244	7.2
208	-0.151371	87.222015	3.635922	0.008521	6.9
209	-0.151634	86.985174	3.643897	0.011320	6.7
210	-0.157248	87.985174	3.610462	0.009878	6.6
211	-0.148017	87.748095	3.618333	0.007156	6.7
212	-0.167341	88.748084	3.585364	0.008158	7.7
213	-0.155013	88.513725	3.593037	0.008772	6.5
214	-0.151958	89.513725	3.560525	0.004265	6.5
215	-0.147050	89.533785	3.559878	0.007917	6.4
216	-0.160381	89.297090	3.567518	0.007543	6.4
217	-0.151724	90.297086	3.535464	0.012434	6.2
218	-0.163063	91.289426	3.504220	0.020811	7.5
219	-0.161546	92.289426	3.473288	0.004967	6.4
220	-0.157166	93.289426	3.442898	0.008464	6.7
221	-0.156078	93.061048	3.449792	0.010186	6.5
222	-0.150975	94.061043	3.419809	0.013878	6.5
223	-0.135045	94.923135	3.394377	0.007532	6.3
224	-0.150599	94.686056	3.401333	0.013213	6.4
225	-0.164892	94.448977	3.408318	0.008816	6.3
226	-0.163922	95.445958	3.379137	0.011445	6.5
227	-0.153652	95.602912	3.374588	0.008796	6.4
228	-0.147640	95.365833	3.381464	0.010042	6.3
229	-0.154766	96.365791	3.352654	0.017037	6.6
230	-0.155409	97.365791	3.324329	0.010650	7.0
231	-0.164943	98.365791	3.296479	0.009553	7.1
232	-0.161626	98.312693	3.297946	0.006026	6.5
233	-0.157950	98.075702	3.304510	0.013020	6.6
234	-0.157348	97.838623	3.311102	0.015035	7.7
235	-0.145842	97.607149	3.317564	0.005347	6.8
236	-0.154663	97.370267	3.324203	0.006550	6.3
237	-0.169093	97.960338	3.307715	0.015492	6.9
238	-0.153863	97.723583	3.314311	0.007816	6.4
239	-0.153627	98.723583	3.286628	0.003185	6.5
240	-0.151900	98.537262	3.291751	0.010304	6.4
241	-0.155981	99.536344	3.264466	0.006487	6.4
242	-0.150080	100.536342	3.237606	0.003378	6.5
243	-0.149536	100.300701	3.243896	0.002548	6.6
244	-0.161673	100.316234	3.243481	0.019319	6.9
245	-0.157060	100.118382	3.248779	0.011743	6.5
246	-0.152750	101.118321	3.222177	0.004148	8.2
247	-0.164200	100.883029	3.228397	0.003636	8.4
248	-0.158762	101.206473	3.219853	0.005850	6.5
249	-0.155883	101.016833	3.224857	0.009972	6.7
250	-0.158193	100.779842	3.231133	0.005915	6.5
251	-0.146491	101.201065	3.219995	0.005817	6.3
252	-0.165082	101.971179	3.199830	0.010160	6.9
253	-0.151673	101.740411	3.205846	0.007369	6.8
254	-0.146233	102.740411	3.179938	0.011833	6.4
255	-0.143164	102.505005	3.185999	0.016037	6.3
256	-0.156750	102.691466	3.181196	0.015189	6.5
257	-0.151100	102.454387	3.187305	0.003895	7.5
258	-0.157181	102.217373	3.193436	0.010909	6.5
259	-0.153813	102.009674	3.198828	0.009197	6.8
260	-0.148164	103.009624	3.173035	0.006875	6.6
261	-0.163561	103.117459	3.170278	0.015632	6.3
262	-0.159072	102.880380	3.176345	0.010684	9.2
263	-0.149338	103.880380	3.150910	0.006502	7.4
264	-0.163881	104.073236	3.146052	0.007893	6.5
265	-0.149813	105.048418	3.121712	0.005228	6.4
266	-0.158220	106.048279	3.097144	0.004956	6.5
267	-0.148103	106.973065	3.074763	0.011140	6.9
268	-0.159085	106.735987	3.080470	0.009363	7.2
269	-0.161894	107.735987	3.056541	0.007862	6.6
270	-0.169279	107.498919	3.062180	0.009191	6.7
271	-0.165066	107.261840	3.067840	0.008030	6.9
272	-0.156146	108.260675	3.044134	0.004956	6.6
273	-0.151538	108.258737	3.044180	0.002952	6.3
274	-0.150773	108.313339	3.042894	0.005214	7.9
275	-0.159337	109.119084	3.024052	0.006474	6.4
276	-0.170472	108.980628	3.027273	0.016326	7.0
277	-0.154832	109.980628	3.004161	0.011915	6.6
278	-0.162688	110.980512	2.981401	0.011512	6.4
279	-0.158073	110.920910	2.982748	0.009032	6.8
280	-0.147437	111.920909	2.960308	0.007143	6.6
281	-0.143705	112.583511	2.945624	0.005308	7.6
282	-0.174104	113.260914	2.930762	0.010342	8.5
283	-0.153904	113.023842	2.935947	0.006385	7.0
284	-0.154448	114.023756	2.914205	0.010734	6.4
285	-0.141026	113.786677	2.919330	0.006175	8.7
286	-0.156756	114.783084	2.897908	0.006323	6.6
287	-0.167773	115.123422	2.890662	0.008208	7.1
