1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.181455	0.000000	18.553144	0.005604	1354.8
1	-0.160886	0.000000	18.553144	0.004132	3.6
2	-0.196098	0.990497	17.717472	0.024112	4.0
3	-0.178968	0.297663	18.293839	0.018338	4.1
4	-0.169031	1.297663	17.473402	0.012782	4.0
5	-0.185321	0.604829	18.033747	0.017776	3.3
6	-0.187652	1.604829	17.235964	0.008940	3.5
7	-0.172908	1.876385	17.031363	0.013259	3.4
8	-0.172145	1.183551	17.563285	0.006467	3.7
9	-0.204736	2.183425	16.805801	0.005568	3.3
10	-0.163456	1.493244	17.321468	0.014235	3.4
11	-0.192877	2.493235	16.584179	0.019063	3.3
12	-0.181247	1.800400	17.088122	0.013912	3.5
13	-0.184662	2.800400	16.370146	0.008374	3.2
14	-0.156674	2.845953	16.338874	0.004038	3.3
15	-0.159146	3.787713	15.718111	0.003539	3.4
16	-0.192081	3.547408	15.871982	0.009998	3.4
17	-0.178714	3.230062	16.079861	0.011625	3.2
18	-0.168190	2.537228	16.553182	0.009389	3.4
19	-0.177858	1.844394	17.055214	0.014612	3.4
20	-0.183379	2.844393	16.339942	0.013001	3.4
21	-0.178070	3.844393	15.682251	0.016176	3.4
22	-0.179928	3.151559	16.132127	0.010810	3.8
23	-0.191950	4.151559	15.490730	0.012417	3.3
24	-0.180873	5.151559	14.898386	0.015686	3.4
25	-0.197947	6.151559	14.349674	0.012873	3.2
26	-0.186793	5.458725	14.725427	0.010928	3.7
27	-0.155796	6.458719	14.189155	0.005663	3.3
28	-0.180927	5.767057	14.555803	0.009347	5.4
29	-0.175687	5.074649	14.942330	0.011108	3.3
30	-0.193583	6.074649	14.390436	0.006881	3.3
31	-0.172598	5.384536	14.766832	0.005596	3.3
32	-0.182164	6.376778	14.231624	0.010113	4.8
33	-0.182615	7.376758	13.730110	0.009136	3.3
34	-0.181652	8.376758	13.262730	0.010380	3.9
35	-0.182764	9.152531	12.921503	0.011352	3.4
36	-0.200220	8.460316	13.225113	0.007949	4.0
37	-0.199105	9.451316	12.794719	0.006304	3.4
38	-0.179284	10.402012	12.407358	0.015176	3.3
39	-0.186133	11.401992	12.024447	0.009291	3.3
40	-0.179493	12.401992	11.664455	0.002528	3.3
41	-0.198632	11.801573	11.877968	0.009388	3.3
42	-0.199305	12.481971	11.636591	0.004360	3.5
43	-0.168752	11.798787	11.878976	0.019484	3.4
44	-0.149957	12.798343	11.527666	0.014274	3.3
45	-0.188206	13.798343	11.196396	0.004343	3.4
46	-0.172249	14.682215	10.919054	0.011288	3.3
47	-0.179121	15.037645	10.811362	0.007369	3.8
48	-0.186350	16.037643	10.519460	0.011599	3.3
49	-0.191104	17.037643	10.242906	0.012998	3.3
50	-0.169816	18.037643	9.980521	0.007415	3.3
51	-0.177958	19.037640	9.731243	0.006448	3.3
52	-0.179529	19.508530	9.618123	0.008408	5.2
53	-0.180633	20.508510	9.386413	0.025055	3.3
54	-0.187880	21.507626	9.165791	0.006609	3.5
55	-0.169485	22.507614	8.955123	0.006389	4.1
56	-0.148581	23.505890	8.754257	0.011680	3.8
57	-0.181091	24.505880	8.561883	0.004807	3.8
58	-0.178754	25.421870	8.392941	0.011864	3.4
59	-0.178140	24.784688	8.509745	0.005721	3.4
60	-0.183542	24.092049	8.640459	0.012102	3.4
61	-0.178818	25.090655	8.453254	0.005258	3.3
62	-0.185084	26.090649	8.273745	0.003689	3.3
63	-0.191875	26.899143	8.134092	0.004939	3.5
64	-0.161047	26.226042	8.250025	0.008523	3.4
65	-0.173847	26.995193	8.117813	0.011748	3.3
66	-0.195290	27.991629	7.952706	0.015186	3.3
67	-0.182144	28.991629	7.793625	0.006794	3.5
68	-0.171571	29.991629	7.640784	0.013874	3.4
69	-0.180732	30.991629	7.493822	0.012381	3.7
70	-0.192085	31.991629	7.352407	0.003281	3.5
71	-0.191336	31.933964	7.360416	0.005104	3.8
72	-0.197208	31.309043	7.448349	0.012961	3.8
73	-0.195579	30.833477	7.516687	0.005265	3.4
74	-0.177389	30.141520	7.618389	0.019438	3.3
75	-0.176007	31.141509	7.472281	0.004951	3.3
76	-0.159078	32.141124	7.331723	0.015578	3.3
77	-0.179885	33.140882	7.196337	0.010508	3.3
78	-0.160260	32.448048	7.289621	0.008279	3.3
79	-0.175478	31.755222	7.385354	0.004572	3.2
80	-0.181017	31.084484	7.480462	0.008374	3.3
81	-0.181285	32.083365	7.339701	0.006615	3.3
82	-0.171515	31.390553	7.436761	0.028743	3.4
83	-0.152448	31.237596	7.458536	0.002871	3.4
84	-0.163133	32.237592	7.318438	0.005088	3.4
85	-0.187679	32.385110	7.298215	0.005454	3.4
86	-0.178002	32.233637	7.318982	0.014614	3.4
87	-0.191395	33.232595	7.184167	0.006158	3.4
88	-0.174817	34.138970	7.066074	0.018170	3.8
89	-0.179893	33.813684	7.108006	0.017496	3.4
90	-0.178198	34.813684	6.980654	0.009057	3.7
91	-0.166108	34.120850	7.068396	0.008682	3.6
92	-0.173393	33.428017	7.158372	0.008623	3.4
93	-0.185308	34.397003	7.033161	0.005080	3.3
94	-0.163935	35.299358	6.920434	0.003884	3.3
95	-0.201744	35.470277	6.899488	0.012087	3.5
96	-0.171628	36.467882	6.779718	0.010905	3.3
97	-0.173163	35.785777	6.861155	0.011616	3.4
98	-0.169080	35.092943	6.945901	0.006779	3.3
99	-0.179931	34.440429	7.027652	0.008532	4.2
100	-0.166657	35.431161	6.904271	0.005508	3.8
101	-0.180945	34.738502	6.990070	0.010536	6.9
102	-0.210148	35.738499	6.866872	0.010188	3.7
103	-0.198676	35.045665	6.951760	0.002767	5.0
104	-0.187571	36.017312	6.833293	0.004843	3.4
105	-0.165912	35.775934	6.862344	0.008705	3.6
106	-0.169922	35.278053	6.923054	0.008529	3.7
107	-0.197636	34.585219	7.009346	0.004848	3.3
108	-0.180747	35.522331	6.893134	0.011183	3.4
109	-0.198833	35.053727	6.950760	0.010893	3.3
110	-0.169176	36.053725	6.828932	0.006830	4.1
111	-0.198473	37.053717	6.711302	0.006101	4.1
112	-0.202899	36.361435	6.792299	0.014508	4.6
113	-0.154857	37.361434	6.675916	0.007528	4.2
114	-0.168407	38.361409	6.563456	0.010697	4.3
115	-0.173289	37.668577	6.640966	0.006960	3.3
116	-0.169233	38.667576	6.529778	0.017344	5.8
117	-0.187686	39.667575	6.422146	0.008412	3.4
118	-0.181573	40.667547	6.318007	0.012564	3.3
119	-0.177217	41.667547	6.217189	0.015463	3.3
120	-0.175643	40.974713	6.286693	0.005540	3.4
121	-0.168578	41.974617	6.186874	0.005149	3.6
122	-0.179240	42.201756	6.164639	0.002531	3.8
123	-0.188778	42.847801	6.102262	0.009889	3.4
124	-0.200570	42.226869	6.162191	0.004335	3.4
125	-0.191959	43.209660	6.067872	0.007603	3.4
126	-0.172733	42.929073	6.094504	0.022145	3.3
127	-0.185311	43.929072	6.000640	0.004592	3.2
128	-0.178686	44.920655	5.910378	0.017817	3.3
129	-0.187667	45.920288	5.822091	0.006870	3.3
130	-0.180789	45.662124	5.844639	0.007862	3.3
131	-0.195121	45.149427	5.889938	0.009225	3.7
132	-0.193572	46.149379	5.802228	0.021365	3.4
133	-0.179456	45.456544	5.862719	0.006751	3.3
134	-0.200536	44.763710	5.924484	0.007414	3.6
135	-0.184425	45.687696	5.842397	0.016462	3.3
136	-0.178079	45.008685	5.902496	0.012149	3.3
137	-0.189461	44.315850	5.965107	0.018122	3.4
138	-0.178975	45.315850	5.875157	0.007692	3.8
139	-0.178840	44.623016	5.937185	0.008794	3.4
140	-0.189995	43.933944	6.000190	0.006738	3.6
141	-0.195141	44.933242	5.909250	0.007718	3.4
142	-0.203183	45.779897	5.834331	0.005448	3.4
