1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	10267.192683	0.000000	0.001599	202.810390	1061.5
1	10237.015382	0.000000	0.001599	202.922775	8.3
2	10064.517281	0.000000	0.001599	199.568110	10.1
3	10083.619878	0.000000	0.001599	200.716958	7.7
4	9966.230716	0.000000	0.001599	199.157001	10.2
5	9995.289888	0.000000	0.001599	200.443033	9.5
6	9662.726228	0.000000	0.001599	194.494934	9.9
7	9708.294362	0.000000	0.001599	195.426061	7.1
8	9729.130930	0.000000	0.001599	197.485873	7.8
9	9537.900718	0.000000	0.001599	193.959355	7.6
10	9531.170634	0.000000	0.001599	193.769631	8.3
11	9579.839893	0.000000	0.001599	195.756953	8.4
12	9481.194025	0.000000	0.001599	194.291352	8.3
13	9424.930151	0.000000	0.001599	193.658673	8.3
14	9350.996962	0.000000	0.001599	192.902150	8.3
15	9289.876148	0.000000	0.001599	191.561337	8.3
16	9208.925518	0.000000	0.001599	191.133029	8.4
17	9146.410507	0.000000	0.001599	190.429050	8.3
18	9124.242924	0.000000	0.001599	190.434628	8.3
19	9040.678390	0.000000	0.001599	189.339656	8.3
20	9134.244451	0.000000	0.001599	192.308019	8.3
21	8972.983394	0.000000	0.001599	189.159052	8.3
22	8943.047233	0.000000	0.001599	188.988561	8.3
23	8945.012006	0.000000	0.001599	190.033719	8.3
24	8810.715497	0.000000	0.001599	187.424951	8.4
25	8774.719115	0.000000	0.001599	187.170295	8.2
26	8624.270766	0.000000	0.001599	184.407214	8.2
27	8696.258491	0.000000	0.001599	186.912540	8.2
28	8536.892619	0.000000	0.001599	183.702538	8.0
29	8556.742893	0.000000	0.001599	185.112974	7.9
30	8486.596733	0.000000	0.001599	183.987732	7.8
31	8396.774649	0.000000	0.001599	182.769408	7.7
32	8393.775382	0.000000	0.001599	183.350226	7.6
33	8226.529493	0.000000	0.001599	179.516336	7.5
34	8258.684641	0.000000	0.001599	180.942435	7.5
35	8366.563551	0.000000	0.001599	184.545575	7.5
36	8093.481115	0.000000	0.001599	178.409639	7.5
37	8048.924359	0.000000	0.001599	178.201317	7.4
38	8038.421769	0.000000	0.001599	178.606739	7.4
39	8011.448532	0.000000	0.001599	179.040490	7.4
40	7942.315910	0.000000	0.001599	177.277423	7.4
41	7956.115195	0.000000	0.001599	178.545178	7.4
42	7912.613403	0.000000	0.001599	178.338205	7.4
43	7828.965456	0.000000	0.001599	176.641027	7.4
44	7889.836245	0.000000	0.001599	179.520790	7.4
45	7730.415483	0.000000	0.001599	175.562209	7.4
46	7525.357691	0.000000	0.001599	171.018885	7.4
47	7618.451116	0.000000	0.001599	174.430430	7.4
48	7575.698001	0.000000	0.001599	173.640561	7.4
49	7490.975620	0.000000	0.001599	172.254960	7.4
50	7460.873843	0.000000	0.001599	171.921023	7.4
51	7293.203282	0.000000	0.001599	168.796697	7.4
52	7366.022918	0.000000	0.001599	170.961888	7.4
53	7316.692308	0.000000	0.001599	170.360945	7.4
54	7266.324399	0.000000	0.001599	169.840585	7.4
55	7256.336858	0.000000	0.001599	170.062052	7.4
56	7263.850370	0.000000	0.001599	170.768606	7.4
57	7092.637352	0.000000	0.001599	167.426399	7.1
58	7110.507095	0.000000	0.001599	168.257237	8.3
59	7096.156994	0.000000	0.001599	168.309082	8.5
60	6998.316285	0.000000	0.001599	166.630280	8.3
61	6975.087447	0.000000	0.001599	166.979761	8.3
62	6919.347436	0.000000	0.001599	165.768766	9.4
63	6855.105024	0.000000	0.001599	164.706909	7.7
64	6767.184141	0.000000	0.001599	162.954644	7.7
65	6771.956833	0.000000	0.001599	163.368058	8.1
66	6710.902184	0.000000	0.001599	162.296651	8.9
67	6778.311489	0.000000	0.001599	165.142160	7.6
68	6597.025080	0.000000	0.001599	160.473806	8.3
69	6634.116115	0.000000	0.001599	162.617472	9.0
70	6486.751560	0.000000	0.001599	159.086049	8.6
71	6485.215518	0.000000	0.001599	159.436058	7.3
72	6473.447317	0.000000	0.001599	160.029371	7.4
73	6466.130037	0.000000	0.001599	160.222355	8.1
74	6360.031234	0.000000	0.001599	158.203870	8.2
75	6338.954684	0.000000	0.001599	157.905157	8.1
76	6321.964409	0.000000	0.001599	157.917427	8.3
77	6274.848040	0.000000	0.001599	157.436965	8.3
78	6217.317954	0.000000	0.001599	156.236942	8.2
79	6196.207401	0.000000	0.001599	156.106518	8.2
80	6038.588254	0.000000	0.001599	152.683503	8.2
81	6152.762382	0.000000	0.001599	156.024293	8.3
82	6044.389995	0.000000	0.001599	154.138759	8.2
83	6080.278299	0.000000	0.001599	155.110941	8.2
