1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.000000	0.000000	0.409054	0.000000	977.2
1	0.000000	0.000000	0.409054	0.000000	9.0
2	0.000000	0.000000	0.409054	0.000000	7.2
3	0.000000	0.000000	0.409054	0.000000	8.9
4	0.000000	0.000000	0.409054	0.000000	8.1
5	0.000000	0.000000	0.409054	0.000000	8.3
6	0.000000	0.000000	0.409054	0.000000	7.6
7	0.000000	0.000000	0.409054	0.000000	8.3
8	0.000000	0.000000	0.409054	0.000000	9.9
9	0.000000	0.000000	0.409054	0.000000	12.2
10	0.000000	0.000000	0.409054	0.000000	12.3
11	0.000000	0.000000	0.409054	0.000000	12.4
12	0.000000	0.000000	0.409054	0.000000	10.7
13	0.000000	0.000000	0.409054	0.000000	12.2
14	0.000000	0.000000	0.409054	0.000000	12.6
15	0.000000	0.000000	0.409054	0.000000	12.1
16	0.000000	0.000000	0.409054	0.000000	7.6
17	0.000000	0.000000	0.409054	0.000000	8.3
18	0.000000	0.000000	0.409054	0.000000	8.2
19	0.000000	0.000000	0.409054	0.000000	8.0
20	0.000000	0.000000	0.409054	0.000000	7.9
21	0.000000	0.000000	0.409054	0.000000	8.1
22	0.000000	0.000000	0.409054	0.000000	8.4
23	0.000000	0.000000	0.409054	0.000000	8.4
24	0.000000	0.000000	0.409054	0.000000	8.3
25	0.000000	0.000000	0.409054	0.000000	8.2
26	0.000000	0.000000	0.409054	0.000000	8.3
27	0.000000	0.000000	0.409054	0.000000	8.4
28	0.000000	0.000000	0.409054	0.000000	8.3
29	0.000000	0.000000	0.409054	0.000000	8.3
30	0.000000	0.000000	0.409054	0.000000	8.3
31	0.000000	0.000000	0.409054	0.000000	8.3
32	0.000000	0.000000	0.409054	0.000000	8.3
33	0.000000	0.000000	0.409054	0.000000	8.3
34	0.000000	0.000000	0.409054	0.000000	8.2
35	0.000000	0.000000	0.409054	0.000000	7.7
36	0.000000	0.000000	0.409054	0.000000	8.1
37	0.000000	0.000000	0.409054	0.000000	8.1
38	0.000000	0.000000	0.409054	0.000000	8.2
39	0.000000	0.000000	0.409054	0.000000	8.3
40	0.000000	0.000000	0.409054	0.000000	8.4
41	0.000000	0.000000	0.409054	0.000000	8.3
42	0.000000	0.000000	0.409054	0.000000	8.1
43	0.000000	0.000000	0.409054	0.000000	8.2
44	0.000000	0.000000	0.409054	0.000000	8.2
45	0.000000	0.000000	0.409054	0.000000	8.3
46	0.000000	0.000000	0.409054	0.000000	8.2
47	0.000000	0.000000	0.409054	0.000000	8.2
48	0.000000	0.000000	0.409054	0.000000	8.2
49	0.000000	0.000000	0.409054	0.000000	8.2
50	0.000000	0.000000	0.409054	0.000000	8.2
