1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	488.785262	0.000000	0.007724	42.263182	977.6
1	475.510001	0.000000	0.007724	41.528366	7.6
2	455.159625	0.000000	0.007724	40.423846	7.6
3	444.713173	0.000000	0.007724	39.968599	7.6
4	436.030970	0.000000	0.007724	39.728789	7.5
5	420.269622	0.000000	0.007724	38.781636	7.5
6	406.673810	0.000000	0.007724	38.013462	7.5
7	396.553547	0.000000	0.007724	37.716189	7.5
8	387.419176	0.000000	0.007724	37.243743	7.4
9	379.809746	0.000000	0.007724	36.840483	7.4
10	367.248929	0.000000	0.007724	36.216571	7.4
11	355.493608	0.000000	0.007724	35.594216	7.4
12	348.866065	0.000000	0.007724	35.184653	7.4
13	334.391595	0.000000	0.007724	34.428645	7.5
14	326.631286	0.000000	0.007724	33.863975	8.2
15	321.164771	0.000000	0.007724	33.705867	8.2
16	312.191482	0.000000	0.007724	33.364727	8.3
17	303.733171	0.000000	0.007724	32.780319	8.5
18	294.363488	0.000000	0.007724	32.234535	8.3
19	285.832982	0.000000	0.007724	31.707979	8.3
20	278.844723	0.000000	0.007724	31.259240	7.7
21	270.052251	0.000000	0.007724	30.732453	8.2
22	263.135574	0.000000	0.007724	30.369094	8.4
23	256.418984	0.000000	0.007724	30.026018	8.3
24	249.867884	0.000000	0.007724	29.589326	8.3
25	242.807706	0.000000	0.007724	29.086219	8.3
26	234.933065	0.000000	0.007724	28.517791	8.3
27	227.954310	0.000000	0.007724	28.027616	8.1
28	218.561074	0.000000	0.007724	27.332448	7.4
29	216.719427	0.000000	0.007724	27.407761	8.1
30	208.248353	0.000000	0.007724	26.715629	8.5
31	206.661868	0.000000	0.007724	26.665385	8.2
32	198.880624	0.000000	0.007724	26.107613	10.1
33	195.704481	0.000000	0.007724	25.978657	7.1
34	191.466695	0.000000	0.007724	25.707872	8.3
35	186.261736	0.000000	0.007724	25.262905	8.4
36	181.199163	0.000000	0.007724	24.933135	8.3
37	173.470462	0.000000	0.007724	24.243439	8.3
38	171.233504	0.000000	0.007724	24.209644	8.3
39	165.803312	0.000000	0.007724	23.803298	8.4
40	160.295111	0.000000	0.007724	23.338809	8.2
41	156.637520	0.000000	0.007724	23.011610	8.2
42	154.674937	0.000000	0.007724	22.923956	7.6
43	151.663930	0.000000	0.007724	22.715624	8.3
44	148.883034	0.000000	0.007724	22.534869	8.3
45	140.173392	0.000000	0.007724	21.699733	8.3
46	139.588902	0.000000	0.007724	21.745266	8.3
47	134.227554	0.000000	0.007724	21.225074	8.4
48	131.227891	0.000000	0.007724	20.966775	8.3
49	129.935968	0.000000	0.007724	20.947481	8.1
50	124.879295	0.000000	0.007724	20.446812	8.2
51	122.441989	0.000000	0.007724	20.241106	8.1
52	117.531445	0.000000	0.007724	19.791726	8.1
53	115.293686	0.000000	0.007724	19.531961	7.7
54	113.168253	0.000000	0.007724	19.474245	8.4
55	110.409362	0.000000	0.007724	19.182082	7.7
56	105.799160	0.000000	0.007724	18.665332	8.3
57	104.549912	0.000000	0.007724	18.612862	8.3
58	102.334964	0.000000	0.007724	18.386353	8.3
59	99.817917	0.000000	0.007724	18.160212	8.4
60	95.436809	0.000000	0.007724	17.739179	8.3
61	93.345515	0.000000	0.007724	17.459197	8.3
62	91.410999	0.000000	0.007724	17.302620	8.3
63	90.814834	0.000000	0.007724	17.298292	8.3
64	87.941342	0.000000	0.007724	16.982387	8.3
65	85.517948	0.000000	0.007724	16.708876	8.3
66	83.164163	0.000000	0.007724	16.469860	8.4
67	80.804335	0.000000	0.007724	16.217980	8.3
68	79.681889	0.000000	0.007724	16.138657	8.1
69	76.800495	0.000000	0.007724	15.783320	8.3
70	74.708795	0.000000	0.007724	15.554342	8.2
71	73.859191	0.000000	0.007724	15.558221	8.4
72	70.153541	0.000000	0.007724	15.002381	8.4
73	69.827655	0.000000	0.007724	15.056131	8.3
74	67.065575	0.000000	0.007724	14.654268	8.3
75	66.280967	0.000000	0.007724	14.590681	8.3
76	64.763643	0.000000	0.007724	14.427953	8.3
77	63.392664	0.000000	0.007724	14.298672	8.3
78	61.138321	0.000000	0.007724	13.962160	8.1
79	59.415551	0.000000	0.007724	13.750025	12.5
80	58.879737	0.000000	0.007724	13.722214	10.6
81	56.428824	0.000000	0.007724	13.358969	10.5
82	55.494828	0.000000	0.007724	13.292921	10.5
83	54.197886	0.000000	0.007724	13.133454	11.2
84	52.551412	0.000000	0.007724	12.872619	12.6
